,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
14,0.6147703443254743,0.38642406463623047,0.3978069396246047,0.3855759756905692,0.644029974937439,0.35622723897298175,0.35882604122161865,0.3726770877838135
15,0.5906016940162295,0.4103367669241769,0.4224977039155506,0.40944480895996094,0.5389509995778402,0.461575190226237,0.46545382340749103,0.4757785399754842
16,0.5870027087983631,0.41410845801943824,0.4256204877580915,0.41284293220156715,0.5798844496409098,0.42057915528615314,0.4271598656972249,0.44256114959716797
17,0.5986126491001674,0.40232376825241817,0.41672811054048087,0.3988562992640904,0.5651633342107137,0.4354415734608968,0.4374682505925496,0.4502576986948649
18,0.5816386540730795,0.4192486717587426,0.43135543096633183,0.41732810792468844,0.574761152267456,0.4254860083262126,0.4336279233296712,0.4526628653208415
19,0.5680154618762788,0.4328021549043201,0.44474074954078313,0.4302640188307989,0.5449235836664835,0.4555623531341553,0.4650861819585164,0.4666225115458171
20,0.5598050980340867,0.4410533905029297,0.44964027404785156,0.44125761304582867,0.5571439266204834,0.4432802200317383,0.44959481557210285,0.45894654591878253
21,0.5539136614118304,0.44683333805629183,0.4569848378499349,0.4457009633382161,0.592780868212382,0.4074755907058716,0.40946535269419354,0.4277489185333252
22,0.5528990427652994,0.44794173467726933,0.45814109983898343,0.44518570672898067,0.5622355937957764,0.43818163871765137,0.44945502281188965,0.4434586763381958
23,0.5291517348516555,0.47165670849028085,0.47906026386079337,0.4720513480050223,0.5479369958241781,0.45246458053588867,0.4509549140930176,0.47131800651550293
24,0.5388149988083613,0.46188041142054964,0.46920304071335567,0.4633905319940476,0.5524901549021403,0.4478303591410319,0.46101733048756915,0.45613400141398114
25,0.5311707996186756,0.4696580796014695,0.47502867380777997,0.4745155516124907,0.5101538101832072,0.4899560213088989,0.48842453956604004,0.5249815384546915
26,0.5205209822881789,0.48015785217285156,0.48782602945963544,0.4807875497000558,0.5147060553232828,0.4854738712310791,0.4949795405069987,0.5002609093983968
27,0.522120612008231,0.4785724821544829,0.48230062212262836,0.48432763417561847,0.5279743671417236,0.4723506768544515,0.4759954611460368,0.48464874426523846
28,0.5106430507841564,0.48999595642089844,0.4885392870221819,0.5027531215122768,0.5348468621571859,0.4654990037282308,0.4677869876225789,0.48676586151123047
29,0.4994229816255115,0.5011756987798781,0.4995939163934617,0.5134487152099609,0.4919607639312744,0.5082931121190389,0.5188591082890829,0.5142418146133423
30,0.48198236737932476,0.5186920166015625,0.5158514295305524,0.531303224109468,0.4874468644460042,0.512848416964213,0.5085674921671549,0.530250072479248
31,0.49881562732514884,0.5018179757254464,0.500056403023856,0.5149315425327846,0.48335667451222736,0.516960859298706,0.5303724606831869,0.517495314280192
32,0.4934605189732143,0.5070877075195312,0.5078278496151879,0.5158491588774181,0.5433964729309082,0.45681766668955487,0.45271722475687665,0.4936288197835286
33,0.49278976803734187,0.5077243532453265,0.5088079543340773,0.5174251738048735,0.4855526288350423,0.5147334734598795,0.5305994351704916,0.5224620501200358
34,0.4666329338437035,0.5339470817929223,0.5303469158354259,0.5468918028331938,0.4794328610102336,0.5206823348999023,0.5355996290842692,0.5252418518066406
35,0.46030934651692706,0.5403054101126534,0.5381906600225539,0.5538059416271391,0.5044813950856527,0.4957702159881592,0.5054089228312174,0.5038435459136963
36,0.4698034014020647,0.5308621270315987,0.532499495006743,0.5378487904866537,0.47404925028483075,0.5261244773864746,0.5396759907404581,0.5287882884343466
37,0.45100057692754836,0.5495438348679316,0.5467599232991537,0.5618306114560082,0.5028942426045736,0.49731258551279706,0.5011793772379557,0.5028090476989746
38,0.45334988548642113,0.5472050167265392,0.5468211401076544,0.5561358133951823,0.505767027537028,0.4945128758748372,0.5081216891606649,0.506988008817037
39,0.4520105634416853,0.548573721022833,0.5499056861514137,0.557077135358538,0.46582408746083576,0.534509023030599,0.5444537798563639,0.5416843891143799
40,0.4315212340581985,0.569035393851144,0.5701410202752977,0.5761105673653739,0.49182995160420734,0.5083215236663818,0.5124810536702474,0.5163465340932211
41,0.42412885030110675,0.5763184229532877,0.5761562074933734,0.5842209770565941,0.47521376609802246,0.5249354044596354,0.5327706734339396,0.5316415627797445
42,0.4363626752580915,0.5641363688877651,0.5649230593726748,0.5714225769042969,0.4729429880777995,0.5272854963938395,0.5297266642252604,0.5433125495910645
43,0.42107754661923363,0.5794726326352074,0.5846842811221168,0.5826277959914434,0.4547256628672282,0.545468250910441,0.5496507883071899,0.5619739691416422
44,0.4113948458716983,0.5891456604003906,0.587579817998977,0.5984897159394764,0.4797813892364502,0.5204176108042399,0.5133740504582723,0.5459123452504476
45,0.41355787004743305,0.5869409924461728,0.5898150489443824,0.5919581821986607,0.48926552136739093,0.5109172264734904,0.5199451446533203,0.5264340241750082
46,0.40409505934942336,0.5963964008149647,0.5964499882289341,0.6037840162004743,0.45933298269907635,0.5408435662587484,0.5578439235687256,0.5397282441457113
47,0.3925952457246326,0.6078770501273019,0.6117488316127232,0.6126055036272321,0.4731771945953369,0.5269076824188232,0.523727814356486,0.5449252923329672
48,0.379386720203218,0.6211011977422805,0.622550782703218,0.6267322812761579,0.4354471762975057,0.5647378365198771,0.5691730976104736,0.5718425909678141
49,0.3682162875220889,0.6321868896484375,0.6359547206333706,0.6358168465750558,0.4673762321472168,0.5328818559646606,0.5402597586313883,0.5432454744974772
50,0.3544895081293015,0.6459542229062035,0.6442597707112631,0.6550433749244327,0.4520440896352132,0.5479651292165121,0.5629020929336548,0.5482003291447958
51,0.36376437686738516,0.636687233334496,0.6370199294317336,0.6437134515671503,0.49612120787302655,0.5040713946024576,0.49977676073710126,0.5174647172292074
52,0.36307244073776973,0.6373174304053897,0.6385065714518229,0.6438791638328916,0.4274074236551921,0.572689930597941,0.5768459240595499,0.579293966293335
53,0.3586776370093936,0.6417960212344215,0.6424883887881324,0.6495695568266369,0.4323854446411133,0.5676319599151611,0.5824816226959229,0.5691087245941162
54,0.3465353193737212,0.6539323443458194,0.6562658945719401,0.6593453543526786,0.42368463675181073,0.5764804681142172,0.5905601978302002,0.5818976561228434
55,0.3442974317641485,0.656135014125279,0.6563143048967633,0.6640038263230097,0.43038177490234375,0.5697058041890463,0.5877422491709391,0.5656184355417887
56,0.3473378136044457,0.6531092325846354,0.6586596171061198,0.6544964199974423,0.4590126673380534,0.5412335395812988,0.5586237112681071,0.5377434094746908
