,start time,end time,loss,DSC,SEN,PPV,val start time,val end time,val_loss,val_DSC,val_SEN,val_PPV
0,2023-09-03 21:42:12,2023-09-03 22:17:28,0.08179255313893603,0.9192293632271699,0.9211874282398163,0.9192565982968917,2023-09-03 22:17:29,2023-09-03 22:26:30,8.37613672291001,0.9494633456261649,0.9517787815536808,0.9488103539545061
1,2023-09-03 22:26:31,2023-09-03 23:02:35,0.04623086460101338,0.9538558618710063,0.9547319991139177,0.9534119757346579,2023-09-03 23:02:35,2023-09-03 23:11:38,8.368241022697019,0.9588398146299254,0.9589847650009984,0.9591483704198283
2,2023-09-03 23:11:39,2023-09-03 23:47:48,0.04011671738629651,0.9599497574713791,0.9607181244383985,0.9594885162906017,2023-09-03 23:47:48,2023-09-03 23:56:52,8.364371172790202,0.9626624094157681,0.9633554411899294,0.9623823236987487
3,2023-09-03 23:56:53,2023-09-04 00:32:07,0.037528325447513146,0.9625275990706537,0.9632706159727769,0.9620512778512713,2023-09-04 00:32:07,2023-09-04 00:41:10,8.362260487386848,0.9649077751639045,0.9655841018953009,0.9645638592834798
4,2023-09-04 00:41:11,2023-09-04 01:16:13,0.0354616207817492,0.9645886893470448,0.9652995961669661,0.964118803144136,2023-09-04 01:16:13,2023-09-04 01:25:16,8.36200672673722,0.9652145759493145,0.9657982124434239,0.9650741105897231
5,2023-09-04 01:25:18,2023-09-04 02:00:50,0.03379673901965189,0.9662464535909212,0.9669204403163272,0.9657841724074814,2023-09-04 02:00:51,2023-09-04 02:09:54,8.360593883120341,0.9667644399169661,0.9672258110980764,0.9665774344382322
6,2023-09-04 02:09:55,2023-09-04 02:45:04,0.03294496465160951,0.9670970457684371,0.9677687574880192,0.9666286545693556,2023-09-04 02:45:04,2023-09-04 02:54:06,8.360197642105964,0.9671632159378328,0.9676946572983227,0.9669234303239816
7,2023-09-04 02:54:08,2023-09-04 03:29:47,0.031872795031855285,0.9681660385050586,0.9688207851812101,0.9676976473059771,2023-09-04 03:29:48,2023-09-04 03:38:49,8.361023404219916,0.9663614388852836,0.9667646349174653,0.9662893537007454
8,2023-09-04 03:38:51,2023-09-04 04:14:17,0.03130046450418913,0.9687308899510783,0.9693840116230698,0.9682626287523296,2023-09-04 04:14:17,2023-09-04 04:23:19,8.359190919528753,0.9682296086677982,0.9687187999201278,0.9680019130848975
9,2023-09-04 04:23:22,2023-09-04 04:59:00,0.030574985459462776,0.9694579818124335,0.9700914084340055,0.9689951806276624,2023-09-04 04:59:00,2023-09-04 05:08:03,8.359207559571352,0.968238513690595,0.9687174999167998,0.9680043180910544
10,2023-09-04 05:08:05,2023-09-04 05:43:27,0.030097301267841246,0.9699349530334798,0.9705583696294262,0.969479821868344,2023-09-04 05:43:27,2023-09-04 05:52:31,8.358443677615815,0.9687103498984957,0.9697214924870208,0.9681462784544729
11,2023-09-04 05:52:33,2023-09-04 06:28:58,0.029551354713968067,0.9704768594207601,0.9711030060236954,0.9700121732311635,2023-09-04 06:28:58,2023-09-04 06:38:02,8.357563315362087,0.9698787278895434,0.9705537546176118,0.9694829418763312
12,2023-09-04 06:38:03,2023-09-04 07:12:54,0.029126391751062884,0.9709003355048589,0.9715182270866614,0.9704392243244143,2023-09-04 07:12:54,2023-09-04 07:21:56,8.357946036341852,0.9694769618610224,0.9701262485231962,0.9691098409211928
13,2023-09-04 07:21:57,2023-09-04 07:57:47,0.02883129505811535,0.9711968662639776,0.9718220378644169,0.9707299050685569,2023-09-04 07:57:47,2023-09-04 08:06:51,8.35749051517572,0.9698917929229899,0.9706451448515708,0.9694622718234158
14,2023-09-04 08:06:53,2023-09-04 08:42:41,0.028352532269982612,0.9716733174836928,0.9722725540177383,0.9712236463325347,2023-09-04 08:42:41,2023-09-04 08:51:44,8.357169674354367,0.9703877441926251,0.970824220310004,0.9701590736072284
15,2023-09-04 08:51:46,2023-09-04 09:26:54,0.027977395997133753,0.9720492134459864,0.972648449980032,0.9715943422815162,2023-09-04 09:26:55,2023-09-04 09:36:00,8.357258594582001,0.9703009039703142,0.9707475201136515,0.9700644983651158
16,2023-09-04 09:36:02,2023-09-04 10:11:43,0.027709174841737596,0.9723165591303914,0.9729257406898961,0.9718508979382987,2023-09-04 10:11:43,2023-09-04 10:20:47,8.357411474973375,0.9702247237752929,0.9705091645034611,0.9701485435802716
17,2023-09-04 10:20:48,2023-09-04 10:56:38,0.027482023635230505,0.9725402897031417,0.9731325712193823,0.9720897085496539,2023-09-04 10:56:38,2023-09-04 11:05:40,8.356468712559904,0.9709572756506256,0.9717201176035011,0.9704296692999534
18,2023-09-04 11:05:42,2023-09-04 11:41:16,0.027112950659153687,0.9729083206453009,0.9735072321785144,0.9724517594765043,2023-09-04 11:41:16,2023-09-04 11:50:19,8.356284112087327,0.97107583595414,0.972006118335663,0.970485114441893
19,2023-09-04 11:50:21,2023-09-04 12:24:57,0.026916115936506797,0.9731054661499934,0.9736904026474308,0.9726574200029952,2023-09-04 12:24:57,2023-09-04 12:34:01,8.356390192358893,0.9711444761298589,0.9717485876763845,0.9708016652522631
20,2023-09-04 12:34:02,2023-09-04 13:09:34,0.02663261161698574,0.973389321876664,0.9739936934238551,0.9729215806792465,2023-09-04 13:09:34,2023-09-04 13:18:37,8.356716753194888,0.9709681306784146,0.9712478263944355,0.9708938354882188
21,2023-09-04 13:18:38,2023-09-04 13:54:15,0.026397351639720196,0.9736241024777024,0.9742208690054247,0.9731634462984226,2023-09-04 13:54:16,2023-09-04 14:03:18,8.35611251164803,0.9714051267971247,0.972016843363119,0.9710298158363285
